name,alias,status
 java,java-jobs,0
 HTML 5,html-5-jobs,0
HR BP,hr-bp-jobs,0
 Recruitment,recruitment-jobs,0
 employer branding,employer-branding-jobs,0
 HRBP,hrbp-jobs,0
 Analysis,analysis-jobs,0
 problem solving,problem-solving-jobs,0
Tikating,tikating-jobs,0
Mechanical and industrial or production or automobile engineer,mechanical-and-industrial-or-production-or-automobile-engineer-jobs,0
I have 5 year experience as a field executive  in Dwarka,i-have-5-year-experience-as-a-field-executive-in-dwarka-jobs,0
Aacountant,aacountant-jobs,0
Fild,fild-jobs,0
Delevry boy,delevry-boy-jobs,0
Delivery boy(Gas),delivery-boygas-jobs,0
 Primary Class Teacher,primary-class-teacher-jobs,0
 Ui Developer,ui-developer-jobs,0
 Java Developer,java-developer-jobs,0
 CAD CAM Engineer,cad-cam-engineer-jobs,0
 Field Collection,field-collection-jobs,0
 Promoter,promoter-jobs,0
 Field Officer,field-officer-jobs,0
 Field Verification Executive,field-verification-executive-jobs,0
Diploma in hotel management,diploma-in-hotel-management-jobs,0
 Survey Boy,survey-boy-jobs,0
 Field Promoter,field-promoter-jobs,0
 Field Collector,field-collector-jobs,0
 Documentation Collection,documentation-collection-jobs,0
 DTC Conductor,dtc-conductor-jobs,0
 Ticket Cancellation,ticket-cancellation-jobs,0
Am Ops,am-ops-jobs,0
 SMM,smm-jobs,0
 Webmaster,webmaster-jobs,0
 Social Media Executive,social-media-executive-jobs,0
Itm,itm-jobs,0
Mrs,mrs-jobs,0
 Data Collection,data-collection-jobs,0
Domestic bpo work from home,domestic-bpo-work-from-home-jobs,0
 recruitment life cycle,recruitment-life-cycle-jobs,0
 rpo,rpo-jobs,0
Gopinath,gopinath-jobs,0
Retails,retails-jobs,0
Business Development etc.,business-development-etc-jobs,0
Web Designer etc.,web-designer-etc-jobs,0
 databases,databases-jobs,0
 hr analytics,hr-analytics-jobs,0
 systems,systems-jobs,0
 hrit,hrit-jobs,0
 workday,workday-jobs,0
 hrms,hrms-jobs,0
 continuous improvement,continuous-improvement-jobs,0
continuous improvement,continuous-improvement-jobs,0
grievance handling,grievance-handling-jobs,0
databases,databases-jobs,0
hr analytics,hr-analytics-jobs,0
systems,systems-jobs,0
hris,hris-jobs,0
hrit,hrit-jobs,0
workday,workday-jobs,0
hrms,hrms-jobs,0
 Hairstylist,hairstylist-jobs,0
 Beauty Advisor,beauty-advisor-jobs,0
 Beautician Teacher,beautician-teacher-jobs,0
 Order Management,order-management-jobs,0
 MIS excel,mis-excel-jobs,0
 Advance Excel,advance-excel-jobs,0
 writing queries,writing-queries-jobs,0
 Teaching English,teaching-english-jobs,0
 Teaching Skill,teaching-skill-jobs,0
 Office Executive,office-executive-jobs,0
 Counter Sales Executive,counter-sales-executive-jobs,0
Salon Director / Operations Manager,salon-director-operations-manager-jobs,0
 Management,management-jobs,0
 Operations,operations-jobs,0
 Business Development,business-development-jobs,0
Trainee os,trainee-os-jobs,0
good computer skill,good-computer-skill-jobs,0
 Quality Checking,quality-checking-jobs,0
 Testing & Quality Control,testing-and-quality-control-jobs,0
 Assistant Operation Manager,assistant-operation-manager-jobs,0
 Hr Business Partner,hr-business-partner-jobs,0
 HR And Administration,hr-and-administration-jobs,0
 Technical Recruiter,technical-recruiter-jobs,0
 Payroll Specialist,payroll-specialist-jobs,0
 Sr Operations Executive,sr-operations-executive-jobs,0
Call centre,call-centre-jobs,0
 Ticketing,ticketing-jobs,0
 Hotel Reservation,hotel-reservation-jobs,0
Fire and safety & Disaster management,fire-and-safety-and-disaster-management-jobs,0
Ass manager store,ass-manager-store-jobs,0
 Assistant Store Manager,assistant-store-manager-jobs,0
